algorithm,gender,vehicle,time_bucket,runs,cost_median,nodes_expanded_median
astar,female,car,afternoon,300,215471.571,13482.0
astar,female,cng,evening_rush,300,445478.412,13372.5
astar,female,rickshaw,late_night,300,226945.575,13340.5
astar,female,walk,evening,300,522978.787,14151.5
astar,male,car,midday,300,80791.639,13095.5
astar,male,motorbike,morning_rush,300,110400.013,13021.0
astar,male,walk,midday,300,241902.317,13517.5
bfs,female,car,afternoon,50,265004.525,14693.0
bfs,female,cng,evening_rush,50,669311.581,14693.0
bfs,female,rickshaw,late_night,50,378958.724,14693.0
bfs,female,walk,evening,50,1006744.339,14693.0
bfs,male,car,midday,50,99382.049,14693.0
bfs,male,motorbike,morning_rush,50,146979.66,14693.0
bfs,male,walk,midday,50,451068.534,14693.0
dfs,female,car,afternoon,44,2616864.838,14168.5
dfs,female,cng,evening_rush,44,5030115.425,14168.5
dfs,female,rickshaw,late_night,44,2526176.198,14168.5
dfs,female,walk,evening,44,5858798.11,14168.5
dfs,male,car,midday,44,1024678.078,14168.5
dfs,male,motorbike,morning_rush,44,1270931.877,14168.5
dfs,male,walk,midday,44,2676708.18,14168.5
greedy,female,car,afternoon,300,275976.096,169.0
greedy,female,cng,evening_rush,300,619856.947,169.0
greedy,female,rickshaw,late_night,300,330023.634,169.0
greedy,female,walk,evening,300,843612.135,169.0
greedy,male,car,midday,300,104645.545,169.0
greedy,male,motorbike,morning_rush,300,144040.139,169.0
greedy,male,walk,midday,300,386168.081,169.0
ucs,female,car,afternoon,50,215471.571,14284.0
ucs,female,cng,evening_rush,50,445478.412,13975.5
ucs,female,rickshaw,late_night,50,226945.575,13951.0
ucs,female,walk,evening,50,522978.787,14425.0
ucs,male,car,midday,50,80791.639,14161.0
ucs,male,motorbike,morning_rush,50,110400.013,13914.0
ucs,male,walk,midday,50,241902.317,14524.0
weighted_astar,female,car,afternoon,300,215471.571,13032.0
weighted_astar,female,cng,evening_rush,300,445478.412,13125.5
weighted_astar,female,rickshaw,late_night,300,226945.575,12891.0
weighted_astar,female,walk,evening,300,522978.787,13504.0
weighted_astar,male,car,midday,300,80791.639,12183.5
weighted_astar,male,motorbike,morning_rush,300,110400.013,12567.0
weighted_astar,male,walk,midday,300,241902.317,12462.5
