algorithm,heuristic,runs,cost_median,nodes_expanded_median,runtime_ms_median,gap_mean
astar,context_aware,350,212375.055,12658.0,131.808,255055.316
astar,haversine_admissible,350,212375.055,13087.0,134.774,260678.181
astar,haversine_time,350,212375.055,13820.0,142.585,265816.89
astar,learned_history,350,212375.055,12740.0,150.265,256885.803
astar,network_relaxed,350,212375.055,12719.5,97.759,257362.317
astar,zero,350,212375.055,14145.0,99.308,270341.958
greedy,context_aware,350,305477.406,167.0,0.933,378867.307
greedy,haversine_admissible,350,305477.406,167.0,1.219,384490.172
greedy,haversine_time,350,305477.406,167.0,1.014,389628.881
greedy,learned_history,350,320511.947,175.5,1.565,382360.184
greedy,network_relaxed,350,245797.855,107.0,0.611,316865.976
greedy,zero,350,312343.391,14693.0,27.124,431715.394
weighted_astar,context_aware,350,212375.055,11837.0,121.796,255055.316
weighted_astar,haversine_admissible,350,212375.055,12477.5,126.968,260678.181
weighted_astar,haversine_time,350,212375.055,13574.0,137.735,265816.89
weighted_astar,learned_history,350,212375.055,11994.0,140.309,256885.803
weighted_astar,network_relaxed,350,212375.055,12013.5,92.69,257362.317
weighted_astar,zero,350,212375.055,14145.0,97.658,270341.958
